avg     	gen	max  	min     	std    	time   
-2025.02	25 	-2025	-2027.4 	0.174031	217.8  
-2025.05	26 	-2025	-2031.1 	0.353817	225.725
-2025.06	27 	-2025	-2035.89	0.620632	233.426
-2025.11	28 	-2025	-2036.85	0.850766	241.468
avg     	gen	max  	min     	std     	time   
-2035.23	0  	-2025	-3420.85	88.4471 	19.3941
-2026.4 	1  	-2025	-2059.43	2.56878 	27.4437
-2025.6 	2  	-2025	-2035.4 	1.18142 	35.4325
-2025.35	3  	-2025	-2038.8 	1.34864 	43.2311
-2025.3 	4  	-2025	-2059.43	2.1145  	51.2333
-2025.21	5  	-2025	-2071.31	2.14194 	59.0809
-2030.82	6  	-2025	-3420.85	88.1102 	67.3838
-2028.35	7  	-2025	-3420.85	62.8193 	75.2628
-2025.09	8  	-2025	-2038.8 	0.779591	83.1385
-2025.07	9  	-2025	-2031.1 	0.569593	90.927 
-2025.08	10 	-2025	-2030.15	0.52868 	98.6105
-2025.03	11 	-2025	-2029.22	0.275311	106.507
-2025.04	12 	-2025	-2029.22	0.292724	114.468
-2025.03	13 	-2025	-2031.1 	0.391762	122.419
-2025.26	14 	-2025	-2059.14	2.3432  	130.036
