1: crossover='0.9', mutation='0.1', n_generations='100'
37: crossover='0.09546444525408204', mutation='0.26082663096834113', n_generations='249'
38: crossover='0.0781752668067629', mutation='0.737801396844064', n_generations='138'
39: crossover='0.5182514175088357', mutation='0.42345799338828993', n_generations='116'
40: crossover='0.8087131490806375', mutation='0.43266557116303994', n_generations='158'
41: crossover='0.5659623892681132', mutation='0.711017019370852', n_generations='140'
42: crossover='0.714736832218676', mutation='0.888034136895517', n_generations='168'
43: crossover='0.8652435829394831', mutation='0.4020859086141415', n_generations='183'
44: crossover='0.19607467274763257', mutation='0.24169040245149065', n_generations='234'
45: crossover='0.39637995672625426', mutation='0.0809194703896855', n_generations='212'
46: crossover='0.9502562397220073', mutation='0.18456246475438964', n_generations='149'
47: crossover='0.13946179224880362', mutation='0.8159094978237473', n_generations='158'
48: crossover='0.3672555186890427', mutation='0.31268076935664035', n_generations='127'
49: crossover='0.8715902510553001', mutation='0.7696804480443138', n_generations='116'
50: crossover='0.17577984447879214', mutation='0.33760609902275274', n_generations='139'
51: crossover='0.33862282901884644', mutation='0.7970915125742384', n_generations='105'
52: crossover='0.549069911826869', mutation='0.7534032748948437', n_generations='234'
53: crossover='0.2560974078935351', mutation='0.44302438223998564', n_generations='86'
54: crossover='0.8231547613199881', mutation='0.6967253366850553', n_generations='241'
55: crossover='0.19202416408730105', mutation='0.7813244265257077', n_generations='60'
56: crossover='0.21491091211213031', mutation='0.30704190344624127', n_generations='152'
57: crossover='0.2621456306167377', mutation='0.022406441807655497', n_generations='157'
58: crossover='0.5465656295052773', mutation='0.26758484342896605', n_generations='201'
59: crossover='0.09145006399137023', mutation='0.7676914219094866', n_generations='154'
60: crossover='0.07392013045721046', mutation='0.49303062089581073', n_generations='112'
61: crossover='0.020277699542987637', mutation='0.05993146069233002', n_generations='52'
62: crossover='0.31717986257566144', mutation='0.1779927854268003', n_generations='82'
63: crossover='0.6710907240427945', mutation='0.3279377827298985', n_generations='156'
64: crossover='0.32313053297368877', mutation='0.90535905427555', n_generations='247'
65: crossover='0.5716993779202865', mutation='0.26294655816916745', n_generations='58'
66: crossover='0.03312416245027894', mutation='0.843846459939796', n_generations='197'
67: crossover='0.9923513083355628', mutation='0.27731153528381147', n_generations='189'
68: crossover='0.8897825927129129', mutation='0.787575112537604', n_generations='185'
69: crossover='0.4905509223039116', mutation='0.39438349238975834', n_generations='178'
70: crossover='0.7425878381504489', mutation='0.9803789904999284', n_generations='199'
71: crossover='0.365683172172225', mutation='0.09821287592367478', n_generations='222'
72: crossover='0.9192801014205034', mutation='0.5565290127030522', n_generations='131'
73: crossover='0.3667540474334655', mutation='0.8706192703429215', n_generations='218'
74: crossover='0.9149868168513811', mutation='0.3683194559395885', n_generations='211'
75: crossover='0.7026112948970458', mutation='0.9666932755657612', n_generations='72'
76: crossover='0.9171025773695355', mutation='0.2709303962129589', n_generations='168'
77: crossover='0.7045008159805497', mutation='0.9382543334003269', n_generations='81'
78: crossover='0.8334147956390813', mutation='0.029869012897546954', n_generations='101'
79: crossover='0.2679105246633705', mutation='0.38857837762718095', n_generations='152'
80: crossover='0.8471722619400346', mutation='0.7846009256886534', n_generations='212'
81: crossover='0.30909286556504756', mutation='0.26973867435698473', n_generations='236'
82: crossover='0.13124603690832093', mutation='0.6797014013692272', n_generations='72'
83: crossover='0.19941532177915944', mutation='0.9055136547385275', n_generations='210'
84: crossover='0.6827324347728807', mutation='0.7554858411648536', n_generations='221'
85: crossover='0.5024691797475872', mutation='0.647830579182445', n_generations='52'
86: crossover='0.08667281833742502', mutation='0.1193907487960797', n_generations='101'
87: crossover='0.34925033055184695', mutation='0.7202156242537184', n_generations='171'
88: crossover='0.7389763343759246', mutation='0.7142804147163473', n_generations='118'
89: crossover='0.16890809807782003', mutation='0.8160637414411852', n_generations='83'
90: crossover='0.9870939499359034', mutation='0.8391579424521362', n_generations='193'
91: crossover='0.21327017722374997', mutation='0.9321858037311793', n_generations='55'
92: crossover='0.32526585781183437', mutation='0.32493388704670156', n_generations='141'
93: crossover='0.6275091135683709', mutation='0.3036888901413456', n_generations='71'
94: crossover='0.4170978622299045', mutation='0.06614439092078617', n_generations='118'
95: crossover='0.510816730040614', mutation='0.43563132694485474', n_generations='235'
96: crossover='0.6897307994355205', mutation='0.7847249405685837', n_generations='178'
97: crossover='0.7747768443651536', mutation='0.7230366430038092', n_generations='156'
98: crossover='0.8135715866730917', mutation='0.8668981934211393', n_generations='234'
99: crossover='0.9720748561314414', mutation='0.32066344725816587', n_generations='100'
100: crossover='0.4814639957797898', mutation='0.8936899265538679', n_generations='133'
101: crossover='0.97890450375369', mutation='0.35918821548807145', n_generations='208'
102: crossover='0.7229804987159906', mutation='0.7652346548399254', n_generations='156'
103: crossover='0.47132014579241144', mutation='0.9429614332376356', n_generations='219'
104: crossover='0.8567212667939889', mutation='0.7066289700205284', n_generations='123'
105: crossover='0.860723423636309', mutation='0.44667643400491563', n_generations='111'
106: crossover='0.09047097207680543', mutation='0.8295841135113108', n_generations='236'
107: crossover='0.9284947323191244', mutation='0.6802957228034991', n_generations='246'
108: crossover='0.8045582326832893', mutation='0.7243876932396927', n_generations='246'
109: crossover='0.8670522497442711', mutation='0.6588535816418067', n_generations='80'
110: crossover='0.6900590769962556', mutation='0.4147035202603766', n_generations='127'
111: crossover='0.9017460035586226', mutation='0.4955472072665389', n_generations='53'
112: crossover='0.5237373532285953', mutation='0.9144207612320178', n_generations='231'
113: crossover='0.17242164086285927', mutation='0.5537860413624285', n_generations='65'
114: crossover='0.4128536895106', mutation='0.10841260133880293', n_generations='173'
115: crossover='0.7713247057746933', mutation='0.1324717531566153', n_generations='241'
116: crossover='0.5469519691608841', mutation='0.04797125905483546', n_generations='245'
117: crossover='0.2502003544287166', mutation='0.08453407308892769', n_generations='52'
118: crossover='0.763057630826723', mutation='0.997971720469186', n_generations='76'
119: crossover='0.5898036576629233', mutation='0.16419660601491215', n_generations='191'
120: crossover='0.8933036504692315', mutation='0.28972197107805475', n_generations='91'
121: crossover='0.8638299432834138', mutation='0.3653597306710942', n_generations='60'
122: crossover='0.6554310435145503', mutation='0.751039474706601', n_generations='153'
123: crossover='0.9873379573362989', mutation='0.3099361721988205', n_generations='222'
124: crossover='0.15513927623647839', mutation='0.015933745720670522', n_generations='50'
125: crossover='0.10558992122679844', mutation='0.37800581868880145', n_generations='171'
126: crossover='0.10064051850584843', mutation='0.007983841451941642', n_generations='229'
127: crossover='0.625696929031249', mutation='0.258129054027453', n_generations='250'
128: crossover='0.46020604507368035', mutation='0.3109387755064533', n_generations='152'
129: crossover='0.2001816549427986', mutation='0.9524512864710314', n_generations='176'
130: crossover='0.8687483494176884', mutation='0.7762348569417612', n_generations='211'
131: crossover='0.5936924692573818', mutation='0.41235427658853474', n_generations='228'
132: crossover='0.4628146325776513', mutation='0.8396387909225854', n_generations='145'
133: crossover='0.9990323109967753', mutation='0.3546383037981371', n_generations='72'
134: crossover='0.5377801370424129', mutation='0.990103034994179', n_generations='211'
135: crossover='0.43198614886636855', mutation='0.2258889383152013', n_generations='206'
136: crossover='0.6615429351680402', mutation='0.04245156343158185', n_generations='50'
137: crossover='0.8419769927904707', mutation='0.3718884462938905', n_generations='209'
138: crossover='0.4637872316410151', mutation='0.24519146887874665', n_generations='57'
139: crossover='0.9445962014253079', mutation='0.5016498197785784', n_generations='83'
140: crossover='0.7520210359282203', mutation='0.4115852982787396', n_generations='187'
141: crossover='0.5978208320226389', mutation='0.39279079708549014', n_generations='100'
142: crossover='0.7832001430684727', mutation='0.7920664486668952', n_generations='216'
143: crossover='0.6367713414009195', mutation='0.4013279678226741', n_generations='71'
144: crossover='0.36132771307302325', mutation='0.25848070621310737', n_generations='83'
145: crossover='0.6960614412397698', mutation='0.9035415882678633', n_generations='207'
146: crossover='0.5763511452890827', mutation='0.8717813284763289', n_generations='209'
147: crossover='0.9639763504373728', mutation='0.28594161626036385', n_generations='246'
148: crossover='0.36178868813390774', mutation='0.2526482253966994', n_generations='98'
149: crossover='0.511060034074255', mutation='0.4813819182286675', n_generations='54'
150: crossover='0.2901744774336684', mutation='0.9800508317196156', n_generations='160'
151: crossover='0.2569048240580575', mutation='0.5533229757377097', n_generations='232'
152: crossover='0.9128917788594363', mutation='0.25267526057387224', n_generations='224'
153: crossover='0.26267887057294237', mutation='0.33498076209397376', n_generations='244'
154: crossover='0.6722836388375928', mutation='0.2599725989936137', n_generations='151'
155: crossover='0.8493591986487734', mutation='0.8015673641214853', n_generations='196'
156: crossover='0.3870498842336154', mutation='0.7933144921369094', n_generations='201'
157: crossover='0.6836050130646926', mutation='0.7891715293112508', n_generations='165'
158: crossover='0.31820755456153005', mutation='0.541234630081211', n_generations='152'
159: crossover='0.9477812340187459', mutation='0.7703100949378857', n_generations='220'
160: crossover='0.2796479433878497', mutation='0.04656375265908541', n_generations='69'
161: crossover='0.3938638585434707', mutation='0.6732988580592757', n_generations='101'
162: crossover='0.29644111032073894', mutation='0.632913962035132', n_generations='223'
163: crossover='0.5583448762043932', mutation='0.48037947850703777', n_generations='224'
164: crossover='0.9135229682761259', mutation='0.6131749222075079', n_generations='151'
165: crossover='0.3312673816858641', mutation='0.8798521505547084', n_generations='157'
166: crossover='0.8536348640306245', mutation='0.09309696108233279', n_generations='179'
167: crossover='0.22180291208934766', mutation='0.5644485476080034', n_generations='168'
168: crossover='0.3540661574491364', mutation='0.08335492761816021', n_generations='213'
169: crossover='0.15106872390631831', mutation='0.7580338221824093', n_generations='144'
170: crossover='0.22917754478725816', mutation='0.2585359176898959', n_generations='151'
